Email Company Region Industry Registry_key Military_Base Product Country Exploit_target_category Organization Attack_vector Vulnerability Corporate Malware_Category Hash Other Location AS_Number IP_address Domain Twitter_handle Malware Exploit_Kit Url Target Filename Operation Username_forum Neighborhood Technology City Malware_Signature O Threat_Actor Person_name Person Continent
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 1 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 21 0 0 0 0 0 8 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 118 0 0 0 0
0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 300 0 0 0 0
0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1056 0 0 74 0 0 0 0 0 2 1 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 150 0 4 0 0
0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 15 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 2 0 0 139 0 8 8 1 0 0 0 0 0 3 0 0 0 0 8 0 0 9 0 0 0 0 0 0 0 195 0 1 0 0
0 0 0 0 0 0 40 0 0 356 0 0 0 0 0 0 19 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 52 9 10 0 0
0 0 0 0 0 0 49 0 0 1 122 3 0 2 0 4 1 0 0 1 0 51 0 0 0 0 0 0 0 0 0 0 179 0 0 0 0
0 0 0 0 0 0 21 0 0 0 0 257 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0
0 0 0 0 0 0 5 0 0 4 1 0 0 115 0 0 1 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 145 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 224 0 0 0 1 0 0 0 0 27 0 0 0 0 0 0 0 0 142 0 0 0 0
0 0 0 0 0 0 59 0 0 19 1 0 0 0 2 109 7 0 0 0 0 16 0 6 0 0 0 0 0 0 0 0 178 0 2 0 0
0 0 0 0 0 0 3 0 0 6 0 0 0 0 0 2 374 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 9 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171 0 0 0 0 1 0 0 0 0 0 0 0 0 15 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 187 0 0 0 30 0 14 0 0 0 0 0 0 71 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 0 31 0 0 19 2 9 0 4 0 23 4 0 0 0 0 614 0 0 0 1 0 0 0 0 0 0 117 3 13 0 0
0 0 0 0 0 0 120 0 0 3 0 3 0 0 0 0 0 0 0 0 0 30 16 0 0 2 0 0 0 0 0 0 159 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 16 16 0 0 0 1817 0 2 0 0 0 0 0 0 191 0 0 0 0
0 0 0 0 0 0 23 0 0 43 0 0 0 0 0 0 22 0 0 0 0 1 0 0 82 5 0 0 0 0 0 0 112 0 0 0 0
0 0 0 0 1 0 5 0 0 1 0 3 0 0 1 0 1 0 3 4 0 3 0 9 0 348 0 0 0 0 0 0 242 0 0 0 0
0 0 0 0 0 0 5 0 0 6 0 0 0 0 0 0 7 0 0 0 0 20 0 0 0 0 22 0 0 0 0 0 58 3 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 0 0 0 28 0 0 1 7 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 2 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 0 652 0 1 204 131 20 0 25 37 18 63 0 72 86 0 171 6 1336 16 92 2 0 0 0 0 0 0 36 47 0 0
0 0 0 0 0 0 9 0 0 35 0 0 0 0 0 0 10 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 31 151 8 0 0
0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 146 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
